Country Code,Country Name,Year,EnergyUse,PM25,CO2pc,GDPpc,School,LE,Region,Income Group,LE_n,GDPpc_n,School_n,EnergyUse_n,PM25_n,CO2pc_n,SKV_v0
ABW,Aruba,2000,,,2.9650726365523026,30199.66127728164,93.7623291015625,72.939,Latin America & Caribbean,High income,0.697049143087233,0.27776297735804095,0.5922366864411761,,,0.9107430357105858,-0.38839343341510246
ABW,Aruba,2001,,,2.9691925764717464,31169.79691389887,95.2861022949219,73.044,Latin America & Caribbean,High income,0.6998940281949455,0.28678409485724815,0.6031525319024159,,,0.9106190140169075,-0.38067546236537086
ABW,Aruba,2002,,,3.221321980146404,30662.321714520356,100.267097473145,73.135,Latin America & Caribbean,High income,0.7023595952882964,0.28206517388503216,0.6388348590660751,,,0.9030292150680805,-0.3619426723216127
ABW,Aruba,2003,,,3.671291126191908,30651.945756091714,99.4354400634766,73.236,Latin America & Caribbean,High income,0.705096103820477,0.28196868970630634,0.6328771195545795,,,0.8894838875422693,-0.3495032498484817
ABW,Aruba,2004,,,3.6673043368580376,32192.791947129062,97.2117691040039,73.223,Latin America & Caribbean,High income,0.7047438799499981,0.2962967424165668,0.6169474203998538,,,0.8896039010315901,-0.3502745534427839
ABW,Aruba,2005,,,3.9412096072105287,31249.278037341315,95.5296020507812,73.415,Latin America & Caribbean,High income,0.7099459555755296,0.2875231755862516,0.6048968897349287,,,0.8813585877016065,-0.34723658073603647
ABW,Aruba,2006,,,4.26236104823701,31038.8898666583,100.635818481445,73.498,Latin America & Caribbean,High income,0.7121947695178166,0.2855668136750526,0.6414762636809193,,,0.8716910327318486,-0.32527841710725236
ABW,Aruba,2007,,,4.568147778332502,31759.82320248333,104.846458435059,73.642,Latin America & Caribbean,High income,0.7160963262369646,0.2922706436201627,0.6716400014516567,,,0.8624859984565174,-0.3024836746869227
ABW,Aruba,2008,,,4.498746494644114,32097.040224355493,96.9074935913086,73.783,Latin America & Caribbean,High income,0.7199166005244644,0.29540636429902456,0.6147676836196714,,,0.864575170850964,-0.32121162136991055
ABW,Aruba,2009,,,4.849218534703359,28157.14898910951,99.5183868408203,73.974,Latin America & Caribbean,High income,0.7250915820061128,0.25877002147671274,0.6334713249172524,,,0.8540249839926819,-0.31491400785932255
ABW,Aruba,2010,,,4.734971228814391,27324.555425980383,96.1624069213867,74.297,Latin America & Caribbean,High income,0.7338429904803137,0.2510278830802084,0.6094301104299462,,,0.8574641468570866,-0.3260304855269305
ABW,Aruba,2011,,,2.828708171282081,28037.869792737765,95.9802322387695,74.578,Latin America & Caribbean,High income,0.7414564449114296,0.25766086559678597,0.6081250666799537,,,0.9148479868193458,-0.3791005277566226
ABW,Aruba,2012,,,3.6009989434252234,27341.227427999627,109.417449951172,74.841,Latin America & Caribbean,High income,0.7485822047526518,0.25118291304043855,0.7043851876853924,,,0.8915998784861964,-0.3235497766600355
ABW,Aruba,2013,,,3.901585048497752,28668.720419626465,114.10406748453784,75.072,Latin America & Caribbean,High income,0.7548409519896195,0.26352703256850485,0.7379586833690718,,,0.8825513975432306,-0.2971091749008319
ABW,Aruba,2014,,,4.126134054884043,27914.843344034773,118.79068501790367,75.261,Latin America & Caribbean,High income,0.7599617451835015,0.25651686468869667,0.7715321790527512,,,0.8757918455521032,-0.27978824924378676
ABW,Aruba,2015,,,4.281504272236947,27458.225331027304,123.4773025512695,75.405,Latin America & Caribbean,High income,0.7638633019026504,0.2522708555822194,0.8051056747364306,,,0.8711147682451432,-0.26403482417137647
ABW,Aruba,2016,,,4.459793795469387,27719.500731079577,128.16392008463532,75.54,Latin America & Caribbean,High income,0.767521011326852,0.2547004087236157,0.8386791704201099,,,0.8657477558447866,-0.2454475590212607
ABW,Aruba,2017,,,4.291166597691636,29671.135828580016,132.85053761800117,75.62,Latin America & Caribbean,High income,0.7696885428374902,0.2728483138882155,0.8722526661037894,,,0.8708239052735485,-0.2325607309970501
ABW,Aruba,2018,,,4.277922650310353,30334.116222430774,137.537155151367,75.88,Latin America & Caribbean,High income,0.7767330202470635,0.27901324980733394,0.9058261617874687,,,0.8712225850643533,-0.2173651077837313
ABW,Aruba,2019,,,5.108834006391765,29576.80971450741,140.313613891602,76.019,Latin America & Caribbean,High income,0.7804991062467972,0.2719711922506065,0.9257158636604201,,,0.8462098334969369,-0.18681444611099562
ABW,Aruba,2020,,,4.1680864191846165,21947.995330118923,132.908020019531,75.406,Latin America & Caribbean,High income,0.7638903960465335,0.2010322138813748,0.8726644524605615,,,0.8745289622634878,-0.2619999414673312
ABW,Aruba,2021,,,4.648096564531105,27469.005621551096,124.23558807373,73.655,Latin America & Caribbean,High income,0.7164485501074436,0.2523710995726678,0.8105378004719054,,,0.8600793167898557,-0.26696016673918355
ABW,Aruba,2022,,,4.684558755008854,29917.128028704523,136.216690063477,76.226,Latin America & Caribbean,High income,0.7861075940305728,0.2751357512912467,0.896366753458732,,,0.8589817030608476,-0.2064450034673304
ABW,Aruba,2023,,,4.936707681703444,31178.473678762,136.216690063477,76.353,Latin America & Caribbean,High income,0.7895485503037107,0.2868647785393941,0.896366753458732,,,0.8513913164146161,-0.19379795564733715
AFG,Afghanistan,2000,,64.767279818427,0.0504760801948224,328.8871861978891,14.4715099334717,55.005,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.21114276668995458,0.0,0.024221490803170778,,0.17352386143541765,0.9984805290663443,-0.5075474427531725
AFG,Afghanistan,2001,,64.5975727246894,0.046572949226217,328.8871861978891,14.4715099334717,55.511,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.22485240349474012,0.0,0.024221490803170778,,0.1759072033245277,0.9985980242053123,-0.504227982332283
AFG,Afghanistan,2002,,64.4168880125936,0.0440777829029563,338.13997364338707,14.274779796600349,56.225,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.24419762222718444,8.604001295332278e-05,0.02281217622734355,,0.1784447132987752,0.9986731356776809,-0.499526978332401
AFG,Afghanistan,2003,,64.1762314183241,0.0443407305372895,346.0716270962232,14.078049659729,57.171,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.26982868234047896,0.00015979503757083263,0.021402861651516336,,0.18182445971585737,0.9986652202197869,-0.49311439362463344
AFG,Afghanistan,2004,,63.8266086780653,0.0378979293189399,338.6372738881967,19.2631397247314,57.81,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.2871418402817003,9.066431884569796e-05,0.05854726220852638,,0.1867345109334725,0.9988591665235572,-0.47753691645882407
AFG,Afghanistan,2005,,63.3190255280017,0.0518878290280667,363.6401414367734,20.3119602203369,58.247,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.29898198115856034,0.00032316150527965815,0.06606069169823275,,0.19386293530931797,0.9984380314851246,-0.47436187194319707
AFG,Afghanistan,2006,,61.5146494273075,0.0553923376777949,367.75831169358025,29.6913509368896,58.553,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.3072727891867508,0.0003614556327873695,0.133251780259618,,0.21920333240045453,0.9983325359908339,-0.4618059258359255
AFG,Afghanistan,2007,,58.0837850174423,0.0775612303767694,410.75772887909744,29.0891704559326,58.956,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.3181917291715899,0.0007612995104749878,0.12893794333260805,,0.2673858961566383,0.9976651904291856,-0.48322855262135433
AFG,Afghanistan,2008,,54.1911438080183,0.1447515280020233,417.6472826474983,39.090030670166,59.708,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.33856652537158727,0.0008253642368039431,0.2005810494416972,,0.32205358652461435,0.9956425748878996,-0.47885710102289414
AFG,Afghanistan,2009,,51.0014373086482,0.2214657260599165,488.8306524919485,44.3971710205078,60.248,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.3531973630683938,0.0014872856415215712,0.2385997809418366,,0.3668493634511213,0.9933332633546395,-0.48232983685229636
AFG,Afghanistan,2010,,49.6793770289443,0.2753809747946982,542.8710304760368,50.413688659668,60.702,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.3654981043912646,0.001989797435847477,0.2817002745389868,,0.385416186882903,0.9917102638464146,-0.47216716657595914
AFG,Afghanistan,2011,,61.8170559083924,0.3887424530733371,525.4269827658195,52.198429107666,61.25,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.3803456952391351,0.0018275883610377294,0.2944856096555726,,0.21495637950040436,0.988297766866146,-0.3760741087646934
