LE,GDPpc,School,EnergyUse,PM25,CO2pc,Country Code,Country Name,Year,Region,Income Group
72.939,30199.66127728164,93.7623291015625,,,2.9650726365523026,ABW,Aruba,2000,Latin America & Caribbean,High income
73.044,31169.79691389887,95.2861022949219,,,2.9691925764717464,ABW,Aruba,2001,Latin America & Caribbean,High income
73.135,30662.321714520356,100.267097473145,,,3.221321980146404,ABW,Aruba,2002,Latin America & Caribbean,High income
73.236,30651.945756091714,99.4354400634766,,,3.671291126191908,ABW,Aruba,2003,Latin America & Caribbean,High income
73.223,32192.791947129062,97.2117691040039,,,3.6673043368580376,ABW,Aruba,2004,Latin America & Caribbean,High income
73.415,31249.278037341315,95.5296020507812,,,3.9412096072105287,ABW,Aruba,2005,Latin America & Caribbean,High income
73.498,31038.8898666583,100.635818481445,,,4.26236104823701,ABW,Aruba,2006,Latin America & Caribbean,High income
73.642,31759.82320248333,104.846458435059,,,4.568147778332502,ABW,Aruba,2007,Latin America & Caribbean,High income
73.783,32097.040224355493,96.9074935913086,,,4.498746494644114,ABW,Aruba,2008,Latin America & Caribbean,High income
73.974,28157.14898910951,99.5183868408203,,,4.849218534703359,ABW,Aruba,2009,Latin America & Caribbean,High income
74.297,27324.555425980383,96.1624069213867,,,4.734971228814391,ABW,Aruba,2010,Latin America & Caribbean,High income
74.578,28037.869792737765,95.9802322387695,,,2.828708171282081,ABW,Aruba,2011,Latin America & Caribbean,High income
74.841,27341.227427999627,109.417449951172,,,3.6009989434252234,ABW,Aruba,2012,Latin America & Caribbean,High income
75.072,28668.720419626465,114.10406748453784,,,3.901585048497752,ABW,Aruba,2013,Latin America & Caribbean,High income
75.261,27914.843344034773,118.79068501790367,,,4.126134054884043,ABW,Aruba,2014,Latin America & Caribbean,High income
75.405,27458.225331027304,123.4773025512695,,,4.281504272236947,ABW,Aruba,2015,Latin America & Caribbean,High income
75.54,27719.500731079577,128.16392008463532,,,4.459793795469387,ABW,Aruba,2016,Latin America & Caribbean,High income
75.62,29671.135828580016,132.85053761800117,,,4.291166597691636,ABW,Aruba,2017,Latin America & Caribbean,High income
75.88,30334.116222430774,137.537155151367,,,4.277922650310353,ABW,Aruba,2018,Latin America & Caribbean,High income
76.019,29576.80971450741,140.313613891602,,,5.108834006391765,ABW,Aruba,2019,Latin America & Caribbean,High income
75.406,21947.995330118923,132.908020019531,,,4.1680864191846165,ABW,Aruba,2020,Latin America & Caribbean,High income
73.655,27469.005621551096,124.23558807373,,,4.648096564531105,ABW,Aruba,2021,Latin America & Caribbean,High income
76.226,29917.128028704523,136.216690063477,,,4.684558755008854,ABW,Aruba,2022,Latin America & Caribbean,High income
76.353,31178.473678762,136.216690063477,,,4.936707681703444,ABW,Aruba,2023,Latin America & Caribbean,High income
